code,name,description,refreshed_at,from_date,to_date
BOM500002,ABB India Limited EOD Prices,End of Day prices and additional trading information for ABB India Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500003,AEGIS LOGISTICS LTD. EOD Prices,End of Day prices and additional trading information for AEGIS LOGISTICS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500008,AMARA RAJA BATTERIES LTD. EOD Prices,End of Day prices and additional trading information for AMARA RAJA BATTERIES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices,End of Day prices and additional trading information for AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices,End of Day prices and additional trading information for HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices.,2019-02-01 13:23:46,1992-01-03,2019-01-31
BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for ANDHRA PETROCHEMICALS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices,End of Day prices and additional trading information for ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500014,APPLE FINANCE LTD. EOD Prices,End of Day prices and additional trading information for APPLE FINANCE LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY DYEING & MFG.CO.LTD. EOD Prices.,2019-02-01 13:23:46,1991-01-02,2019-01-31
BOM500023,Asian Hotels (North) Limited EOD Prices,End of Day prices and additional trading information for Asian Hotels (North) Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-30
BOM500024,Assam Company (India) Limited EOD Prices,End of Day prices and additional trading information for Assam Company (India) Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500027,ATUL LTD. EOD Prices,End of Day prices and additional trading information for ATUL LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-03,2019-01-31
BOM500028,ATV PROJECTS INDIA LTD. EOD Prices,End of Day prices and additional trading information for ATV PROJECTS INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500029,AUTOLITE (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for AUTOLITE (INDIA) LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-03,2019-01-31
BOM500030,AUTORIDERS FINANCE LTD. EOD Prices,End of Day prices and additional trading information for AUTORIDERS FINANCE LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2018-01-01
BOM500031,BAJAJ ELECTRICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for BAJAJ ELECTRICALS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500032,Bajaj Hindusthan Sugar Limited EOD Prices,End of Day prices and additional trading information for Bajaj Hindusthan Sugar Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500033,FORCE MOTORS LTD.-$ EOD Prices,End of Day prices and additional trading information for FORCE MOTORS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500034,Bajaj Finance Limited EOD Prices,End of Day prices and additional trading information for Bajaj Finance Limited EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
